entidad_txt,legislatura,legentidad,periodo,year1,year2,year3,year4,year5,presidentas_org_directivos_pct,mujeres_org_directivos_pct,presidentas_cduras,presidentes_cduras,presidencias_cduras,presidentas_duras_pct,mujeres_cduras_promedio,presidentas_cblandas,presidentes_cblandas,presidencias_cblandas,presidentas_cblandas_pct,mujeres_cblandas_promedio,unidad,estudios,lenguaje,descriptiva,hombres_mr,mujeres_mr,hombres_rp,mujeres_rap,hombres_tot,mujeres_tot,curules,informal,law_name,law_publication_year,ifreg,yr_first_gender_law,age_first_gender_law,state_gpd,state_gpd_rescaled,state_gpd_rescaled_lag_1,state_gpd_rescaled_lag_2,state_gpd_rescaled_lag_3,party_alternation,population,state_gpd_per_capita,state_gpd_per_capita_rescaled,year_info_inegi,percent_urban_pop,percent_pop_high_edu,avg_yr_school,entidad,prop_od_presidentas,prop_od_integrantes,duras_presidentas,duras_integrantes,blandas_presidentas,blandas_integrantes,prop_comisiones_presidentas ,prop_comisiones_integrantes
Chihuahua,Chihuahua 2 (2018-2021),Leg. 2,2018-2021,2018,2019,2020,2021,,25,45.45000076,5,8,13,38.4620018,48.01300049,11,10,21,52.38100052,60.8730011,1,0,1,45.45500183,11,11,7,4,18,15,33,2,Ley Electoral del Estado de Chihuahua,2015,5,1997,21,564077.6875,0.029706035,0.028993744,0.028014697,0.026680602,1,3727984,151309.0313,0.076053992,2020,87.497612,18.79999924,10,Chihuahua,0.25,0.45450002,0.384620011,0.480130017,0.523810029,0.608730018,0.470588235,0.559558824
Ciudad de México,CDMX 2 (2018-2021),Leg. 2,2018-2021,2018,2019,2020,2021,,70,45.90000153,9,8,17,52.94100189,50.79800034,14,10,24,58.33300018,53.91500092,0,1,0,50,17,16,16,17,33,33,66,1,C√≥digo de Instituciones y Procedimientos Electorales del Distrito Federal,2014,3.5,1999,19,3126459.5,0.174786076,0.170204461,0.165204629,0.160253808,1,9041395,345793.9375,0.219378993,2020,99.30171204,32.09999847,11.47999954,Ciudad de México,0.699999988,0.459000021,0.529410005,0.507979989,0.583329976,0.53915,0.551282051,0.525564881
Coahuila,Coahuila 2 (2018-2020),Leg. 2,2018-2020,2018,2019,2020,2021,,0,51.56000137,8,7,15,53.33300018,56.76699829,8,5,13,61.5379982,68.33300018,0,0,1,56,7,9,4,5,11,14,25,1,C√≥digo Electoral del Estado de Coahuila de Zaragoza,2016,4,2001,17,608138.8125,0.032200743,0.03183743,0.030168384,0.029697586,0,3132017,194168.4219,0.107639074,2020,91.65100098,21.5,10.43000031,Coahuila,0,0.515600026,0.533330023,0.567669988,0.615379989,0.683329999,0.56,0.623190476
Colima,Colima 2 (2018-2021),Leg. 2,2018-2021,2018,2019,2020,2021,,68.75,58.40999985,14,14,28,50,45.4980011,12,9,21,57.14300156,66.46800232,1,0,1,56,9,7,2,7,11,14,25,2,C√≥digo Electoral del Estado de Colima,2014,3,1999,19,105031.0313,0.003715177,0.003545795,0.00334971,0.003196943,0,760333,138138.2031,0.066347785,2020,90.06112671,22,10.05000019,Colima,0.6875,0.584100008,0.5,0.454980016,0.571430027,0.664680004,0.574074074,0.563712522
Durango,Durango 2 (2018-2021),Leg. 2,2018-2021,2018,2019,2020,2021,,45.45000076,39.06000137,7,13,20,35,32.42900085,8,12,20,40,52,0,0,0,44,9,6,5,5,14,11,25,0,Ley de Instituciones y Procedimientos Electorales para el Estado de Durango,2014,5,2000,18,202272.0313,0.009220885,0.009067293,0.009129668,0.008689575,1,1836460,110142.3516,0.045716342,2020,72.37497711,16.70000076,9.75,Durango,0.45450002,0.390600026,0.349999994,0.324290007,0.400000006,0.519999981,0.375,0.422142857
Estado de México,México 2 (2018-2021),Leg. 2,2018-2021,2018,2019,2020,2021,,60,57.88999939,4,3,7,57.14300156,44.55199814,13,0,13,100,62.47800064,1,0,0,49.33300018,23,22,15,15,38,37,75,1,C√≥digo Electoral del Estado de M√©xico,2014,4,1999,19,1608137.25,0.088819861,0.085920319,0.081874393,0.079593547,0,17056666,94282.03906,0.034028135,2020,87.41542816,17.89999962,10.07999992,Estado de México,0.600000024,0.57889998,0.571430027,0.445519984,1,0.624779999,0.868421053,0.545106552
Guanajuato,Guanajuato 2 (2018-2021),Leg. 2,2018-2021,2018,2019,2020,2021,,50,39.13000107,5,7,12,41.66699982,40.13899994,2,5,7,28.57099915,62.85699844,0,0,1,50,11,11,7,7,18,18,36,1,Ley de Instituciones y Procedimientos Electorales para el Estado de Guanajuato,2014,5,2002,16,713090.0625,0.038142998,0.037638485,0.035891719,0.034788869,1,6117205,116571.2266,0.050454076,2020,72.07727814,13.19999981,9.039999962,Guanajuato,0.5,0.391300023,0.416669995,0.401389986,0.285709977,0.628569961,0.368421053,0.485087719
Guerrero,Guerrero 2 (2018-2021),Leg. 2,2018-2021,2018,2019,2020,2021,,35.70999908,35.47999954,4,12,16,25,30,8,11,19,42.10499954,49.47399902,1,0,0,41.30400085,18,10,9,9,27,19,46,1,Ley No. 483 de Instituciones y Procedimientos Electorales del Estado de Guerrero,2014,4,1998,20,240685.9844,0.011395853,0.01102263,0.011027774,0.010767073,1,3629733,66309.55469,0.013413905,2020,59.65348434,12.89999962,8.369999886,Guerrero,0.35709998,0.354799986,0.25,0.300000012,0.421049982,0.49473998,0.342857143,0.405714286
Hidalgo,Hidalgo 2 (2018-2021),Leg. 2,2018-2021,2018,2019,2020,2021,,53.84000015,53.56999969,5,8,13,38.4620018,56.22100067,11,6,17,64.70600128,58.33300018,1,0,1,53.33300018,8,10,6,6,14,16,30,2,C√≥digo Electoral del Estado de Hidalgo,2014,5,2007,11,276996.1875,0.013451708,0.013062275,0.01298955,0.012415512,0,3014258,91895.32031,0.032269247,2020,57.3008461,14.89999962,9.369999886,Hidalgo,0.538399994,0.535700023,0.384620011,0.562210023,0.647060037,0.583329976,0.533333333,0.574179894
Jalisco,Jalisco 2 (2018-2021),Leg. 2,2018-2021,2018,2019,2020,2021,,55.54999924,45.45000076,5,9,14,35.7140007,32.33499908,4,3,7,57.14300156,67.29599762,0,0,0,42.10499954,13,7,9,9,22,16,38,0,C√≥digo Electoral y de Participaci√≥n Ciudadana del Estado de Jalisco,2014,5,2002,16,1208076,0.066168711,0.06438747,0.062831208,0.060326111,1,8238991,146629.125,0.072605148,2020,87.9455719,19,9.899999619,Jalisco,0.555499971,0.45450002,0.357140005,0.323349983,0.571430027,0.672959983,0.45,0.445714286
