entidad_txt,legislatura,legentidad,periodo,year1,year2,year3,year4,year5,presidentas_org_directivos_pct,mujeres_org_directivos_pct,presidentas_cduras,presidentes_cduras,presidencias_cduras,presidentas_duras_pct,mujeres_cduras_promedio,presidentas_cblandas,presidentes_cblandas,presidencias_cblandas,presidentas_cblandas_pct,mujeres_cblandas_promedio,unidad,estudios,lenguaje,descriptiva,hombres_mr,mujeres_mr,hombres_rp,mujeres_rap,hombres_tot,mujeres_tot,curules,informal,law_name,law_publication_year,ifreg,yr_first_gender_law,age_first_gender_law,state_gpd,state_gpd_rescaled,state_gpd_rescaled_lag_1,state_gpd_rescaled_lag_2,state_gpd_rescaled_lag_3,party_alternation,population,state_gpd_per_capita,state_gpd_per_capita_rescaled,year_info_inegi,percent_urban_pop,percent_pop_high_edu,avg_yr_school,entidad,od_presidentas,od_integrantes,duras_presidentas,duras_integrantes,blandas_presidentas,blandas_integrantes,_est_od01,_est_od02,_est_dur01,_est_dur02,_est_blan01,_est_blan02,_est_unidad,_est_estudios,_est_lenguaje
Estado de México,México 2 (2018-2021),Leg. 2,2018-2021,2018,2019,2020,2021,,60,57.889999,4,3,7,57.143002,44.551998,13,0,13,100,62.478001,1,0,0,49.333,23,22,15,15,38,37,75,1,C√≥digo Electoral del Estado de M√©xico,2014,4,1999,19,1608137.3,.088819861,.085920319,.081874393,.079593547,0,17056666,94282.039,.034028135,2020,87.415428,17.9,10.08,Estado de México,.60000002,.57889998,.57143003,.44551998,1,.62478,1,1,1,1,1,1,1,1,1
Guanajuato,Guanajuato 1 (2015-2018),Leg. 1,2015-2018,2015,2016,2017,2018,,27.27,36.360001,5,7,12,41.667,41.904999,5,2,7,71.429001,57.143002,0,0,1,44.444,12,10,8,6,20,16,36,1,Ley de Instituciones y Procedimientos Electorales para el Estado de Guanajuato,2014,5,2002,13,653849.94,.034788869,.032877114,.0314328,.030093554,1,5930618,110249.88,.045795582,2015,71.006859,13.2,8.3800001,Guanajuato,.27270001,.36360002,.41666999,.41904998,.71429002,.57143003,1,1,1,1,1,1,1,1,1
Guanajuato,Guanajuato 2 (2018-2021),Leg. 2,2018-2021,2018,2019,2020,2021,,50,39.130001,5,7,12,41.667,40.139,2,5,7,28.570999,62.856998,0,0,1,50,11,11,7,7,18,18,36,1,Ley de Instituciones y Procedimientos Electorales para el Estado de Guanajuato,2014,5,2002,16,713090.06,.038142998,.037638485,.035891719,.034788869,1,6117205,116571.23,.050454076,2020,72.077278,13.2,9.04,Guanajuato,.5,.39130002,.41666999,.40138999,.28570998,.62856996,1,1,1,1,1,1,1,1,1
Guerrero,Guerrero 1 (2015-2018),Leg. 1,2015-2018,2015,2016,2017,2018,,45.450001,41.93,4,11,15,26.667,35.237999,6,9,15,40,48,1,0,1,37.778,17,11,11,6,28,17,45,2,Ley No. 483 de Instituciones y Procedimientos Electorales del Estado de Guerrero,2014,4,1998,17,229580.56,.010767073,.010658276,.01015733,.010118099,1,3576592,64189.754,.011851725,2015,59.501011,12.9,7.8000002,Guerrero,.45450002,.41929999,.26666999,.35237998,.40000001,.47999999,1,1,1,1,1,1,1,1,1
Guerrero,Guerrero 2 (2018-2021),Leg. 2,2018-2021,2018,2019,2020,2021,,35.709999,35.48,4,12,16,25,30,8,11,19,42.105,49.473999,1,0,0,41.304001,18,10,9,9,27,19,46,1,Ley No. 483 de Instituciones y Procedimientos Electorales del Estado de Guerrero,2014,4,1998,20,240685.98,.011395853,.01102263,.011027774,.010767073,1,3629733,66309.555,.013413905,2020,59.653484,12.9,8.3699999,Guerrero,.35709998,.35479999,.25,.30000001,.42104998,.49473998,1,1,1,1,1,1,1,1,1
Hidalgo,Hidalgo 1 (2016-2018),Leg. 1,2016-2018,2016,2017,2018,,,40,33.330002,4,9,13,30.768999,30.577,9,9,18,50,50.925999,1,0,1,40,9,9,9,3,18,12,30,2,C√≥digo Electoral del Estado de Hidalgo,2014,5,2007,9,268833.63,.01298955,.012415512,.011530539,.010846465,0,2938756,91478.711,.031962235,2015,52.354164,14.9,8.7200003,Hidalgo,.40000001,.33330002,.30768999,.30577001,.5,.50926,1,1,1,1,1,1,1,1,1
Hidalgo,Hidalgo 2 (2018-2021),Leg. 2,2018-2021,2018,2019,2020,2021,,53.84,53.57,5,8,13,38.462002,56.221001,11,6,17,64.706001,58.333,1,0,1,53.333,8,10,6,6,14,16,30,2,C√≥digo Electoral del Estado de Hidalgo,2014,5,2007,11,276996.19,.013451708,.013062275,.01298955,.012415512,0,3014258,91895.32,.032269247,2020,57.300846,14.9,9.3699999,Hidalgo,.53839999,.53570002,.38462001,.56221002,.64706004,.58332998,1,1,1,1,1,1,1,1,1
Jalisco,Jalisco 1 (2015-2018),Leg. 1,2015-2018,2015,2016,2017,2018,,20,41.25,10,14,24,41.667,44.471001,10,8,18,55.556,61.332001,0,0,0,41.026001,12,8,11,8,23,16,39,0,C√≥digo Electoral y de Participaci√≥n Ciudadana del Estado de Jalisco,2014,5,2002,13,1104884.9,.060326111,.058195636,.055439517,.054120708,1,7963314,138746.88,.06679634,2015,86.509346,19,9.25,Jalisco,.2,.41249999,.41666999,.44471002,.55555999,.61331999,1,1,1,1,1,1,1,1,1
Jalisco,Jalisco 2 (2018-2021),Leg. 2,2018-2021,2018,2019,2020,2021,,55.549999,45.450001,5,9,14,35.714001,32.334999,4,3,7,57.143002,67.295998,0,0,0,42.105,13,7,9,9,22,16,38,0,C√≥digo Electoral y de Participaci√≥n Ciudadana del Estado de Jalisco,2014,5,2002,16,1208076,.066168711,.06438747,.062831208,.060326111,1,8238991,146629.13,.072605148,2020,87.945572,19,9.8999996,Jalisco,.55549997,.45450002,.35714,.32334998,.57143003,.67295998,1,1,1,1,1,1,1,1,1
Michoacán,Michoacán 1 (2015-2018),Leg. 1,2015-2018,2015,2016,2017,2018,,25,37.5,10,14,24,41.667,39.877998,10,11,21,47.618999,51.111,0,0,0,42.5,13,11,10,6,23,17,40,0,C√≥digo Electoral del Estado de Michoac√°n,2014,4,2001,14,386038.38,.019625589,.019264193,.018121082,.017700085,1,4644732,83113.164,.025797267,2015,68.6549,13.3,7.9299998,Michoacán,.25,.375,.41666999,.39877999,.47619,.51111001,1,1,1,1,1,1,1,1,1
